Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2021,SKODA,PETROL/ELECTRIC,4248,5.24,1.16,4.08,351.43,119.31,26.43,92.88,351.43,5.38,1.16,4.22,362.66,122.64,26.51,96.13,362.66
2021,FIAT GROUP,PETROL/ELECTRIC,7510,6.1,2,4.1,204.8,138.97,45.59,93.38,204.8,6.3,2,4.3,214.77,143.48,45.58,97.9,214.77
2022,VOLVO,PETROL,5003,8.16,7.05,1.11,15.73,185.77,160.52,25.25,15.73,7.94,7.1,0.84,11.78,180.79,161.74,19.05,11.78
2021,DACIA,PETROL,51657,7.09,5.56,1.54,27.61,161.62,126.65,34.97,27.61,6.89,5.56,1.33,24,156.98,126.6,30.38,24
2021,VOLKSWAGEN,DIESEL,85764,6.61,5.7,0.91,15.93,173.88,149.99,23.89,15.93,6.44,5.6,0.84,14.94,169.42,147.4,22.02,14.94
2022,SUBARU,PETROL,103,8.74,8.24,0.51,6.17,199.21,187.63,11.57,6.17,8.61,8.26,0.35,4.18,196.08,188.21,7.86,4.18
2021,KIA,PETROL,12653,6.31,5.45,0.86,15.71,143.75,124.23,19.51,15.71,6.24,5.49,0.76,13.85,142.25,124.95,17.3,13.85
2022,VOLVO,DIESEL,11969,7.26,6.29,0.97,15.42,191.09,165.57,25.53,15.42,7.03,6.24,0.79,12.6,184.87,164.19,20.68,12.6
2022,ALFA ROMEO,PETROL,2738,9.37,7.26,2.11,29.06,213.46,165.4,48.06,29.06,9.8,7.76,2.04,26.31,223.15,176.68,46.48,26.31
2021,TOYOTA,PETROL,130755,5.52,4.99,0.54,10.74,125.79,113.6,12.2,10.74,5.61,5.06,0.55,10.9,127.85,115.29,12.56,10.9
2022,KG MOBILITY,PETROL,493,7.55,7.76,-0.21,-2.73,172.04,176.86,-4.82,-2.73,6.9,7.74,-0.84,-10.85,157.16,176.29,-19.12,-10.85
2022,VOLVO,PETROL/ELECTRIC,20147,5.81,1.38,4.43,320.24,132.38,31.5,100.88,320.24,6.12,1.4,4.72,337.46,139.5,31.89,107.61,337.46
2022,AUTOMOBILES CITROEN,PETROL,2025,6.6,5.69,0.91,16.09,150.38,129.54,20.84,16.09,6.43,5.66,0.78,13.71,146.49,128.83,17.66,13.71
2021,BMW AG,DIESEL,110966,6.91,5.61,1.3,23.21,181.74,147.51,34.23,23.21,6.85,5.59,1.26,22.46,180.23,147.18,33.05,22.46
2022,SKODA,DIESEL,11524,6.35,5.35,1,18.59,166.99,140.81,26.18,18.59,6.23,5.3,0.93,17.48,163.81,139.43,24.37,17.48
2022,CHRYSLER,DIESEL,1256,5.96,5.06,0.9,17.83,156.74,133.02,23.72,17.83,5.86,5.05,0.81,16.01,154.25,132.96,21.29,16.01
2021,HONDA MOTOR CO,PETROL,8399,5.41,5.2,0.22,4.16,123.29,118.36,4.93,4.16,5.55,5.37,0.18,3.29,126.42,122.4,4.02,3.29
2022,MERCEDES-BENZ AG,DIESEL,70559,7.08,6.08,1,16.52,186.35,159.93,26.42,16.52,6.98,6.06,0.91,15.09,183.58,159.51,24.07,15.09
2021,PSA,DIESEL,7602,5.4,4.63,0.77,16.68,142.17,121.85,20.32,16.68,5.39,4.63,0.76,16.47,141.89,121.82,20.07,16.47
2021,AUTOMOBILES CITROEN,PETROL,22072,6.47,5.59,0.88,15.78,147.31,127.23,20.07,15.78,6.37,5.61,0.77,13.65,145.22,127.78,17.45,13.65
2021,VOLVO,PETROL,34474,8.32,7.24,1.08,14.93,189.56,164.94,24.62,14.93,8.2,7.25,0.95,13.11,186.88,165.21,21.67,13.11
2021,VOLKSWAGEN,PETROL/ELECTRIC,6507,5.29,1.42,3.87,271.93,120.53,32.41,88.13,271.93,5.83,1.56,4.27,274.08,132.74,35.49,97.26,274.08
2022,MERCEDES-BENZ AG,DIESEL/ELECTRIC,20038,6.03,1.35,4.69,348.09,158.75,35.43,123.32,348.09,6.17,1.36,4.81,352.38,162.39,35.9,126.49,352.38
2021,FORD MOTOR COMPANY,PETROL,1017,14.39,11.59,2.8,24.2,327.9,264.01,63.89,24.2,14.13,11.57,2.56,22.14,321.86,263.52,58.34,22.14
2021,BMW GMBH,PETROL,4668,14.54,11.1,3.44,30.98,331.32,252.95,78.36,30.98,14.41,11.27,3.15,27.94,328.34,256.64,71.7,27.94
2021,CHRYSLER,PETROL,14423,8.7,7.19,1.51,20.95,198.16,163.84,34.32,20.95,8.54,7.21,1.33,18.4,194.59,164.35,30.25,18.4
2022,MASERATI,PETROL,425,13.75,10.59,3.16,29.88,313.26,241.19,72.06,29.88,13.22,10.46,2.76,26.39,301.22,238.33,62.9,26.39
2021,NISSAN AUTOMOTIVE EUROPE,PETROL,24219,7.55,6.14,1.41,22.96,171.92,139.81,32.11,22.96,7.39,6.15,1.24,20.14,168.3,140.09,28.22,20.14
2021,SUBARU,PETROL,415,8.78,8.16,0.62,7.55,200.04,185.99,14.05,7.55,8.7,8.19,0.51,6.25,198.15,186.5,11.65,6.25
2021,VOLKSWAGEN,PETROL,118758,7.13,6.19,0.94,15.24,162.4,140.92,21.48,15.24,7.01,6.21,0.8,12.85,159.74,141.55,18.19,12.85
2022,KIA SLOVAKIA,DIESEL,288,5.83,5.14,0.69,13.32,153.37,135.35,18.03,13.32,5.73,5.11,0.63,12.24,150.86,134.41,16.46,12.24
2022,STELLANTIS AUTO,PETROL/ELECTRIC,773,5.27,1.3,3.97,305.93,120.02,29.57,90.45,305.93,5.51,1.33,4.18,314.49,125.41,30.26,95.16,314.49
